appid,name,playtime_forever,img_icon_url,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,content_descriptorids,playtime_disconnected,has_community_visible_stats,has_leaderboards,playtime_2weeks
70,Half-Life,0,95be6d131fc61f145797317ca437c9765f24b41c,0,0,0,0,0,"[2, 5]",0,,,
220,Half-Life 2,0,fcfb366051782b8ebf2aa297f3b746395858cb62,0,0,0,0,0,"[2, 5]",0,True,,
320,Half-Life 2: Deathmatch,0,795e85364189511f4990861b578084deef086cb1,0,0,0,0,0,"[2, 5]",0,,,
360,Half-Life Deathmatch: Source,0,40b8a62efff5a9ab356e5c56f5c8b0532c8e1aa3,0,0,0,0,0,"[2, 5]",0,,,
400,Portal,0,cfa928ab4119dd137e50d728e8fe703e4e970aff,0,0,0,0,0,,0,True,,
550,Left 4 Dead 2,0,7d5a243f9500d2f8467312822f8af2a2928777ed,0,0,0,0,0,"[2, 5]",0,True,,
620,Portal 2,0,25a5a16b2423bf7487ac5340b5b0948cef48c5f8,0,0,0,0,0,,0,True,True,
730,Counter-Strike 2,3126,8dbc71957312bbd3baea65848b545be9eae2a355,3106,0,0,0,1770424365,"[2, 5]",15,True,,
8190,Just Cause 2,1,73582e392a2b9413fe93b011665a5b9cf26ff175,1,0,0,0,1730395591,,0,True,,
12200,Bully: Scholarship Edition,0,791f13dd4ea6c4cdf171670cc576682171c1eae5,0,0,0,0,0,,0,,,
12210,Grand Theft Auto IV: The Complete Edition,3225,a3cf6a64c73f991898a9e34681d0db8226eaa191,3225,0,0,0,1771071070,,139,True,,
12750,GRID,23,c9367af908a9527040b41f6323aee4507bcba722,0,0,0,0,1489501567,,0,,,
29900,Dark Sector,0,e1eede77996260a65a37d3610634ed88a0b6a6db,0,0,0,0,0,"[2, 5]",0,,,
35140,Batman: Arkham Asylum GOTY Edition,609,e52f91ecb0d3f20263e96fe188de1bcc8c91643e,609,0,0,0,1765080306,,59,True,,
40990,Mafia,45,3c86a0fd4f94a97b6f4ce31b5c31532e2098fe7b,45,0,0,0,1760595767,"[2, 5]",0,,,
108710,Alan Wake,172,ec7953511aaaf5a2c2093b872b5b43c6cab56462,172,0,0,0,1766060358,,0,True,,
110800,L.A. Noire,0,ee09d4d2552e52c78d139a3b6dbe60173079d9f8,0,0,0,0,0,,0,True,,
200260,Batman: Arkham City GOTY,1384,746ecf3ce44b2525eb7ad643e76a3b60913d2662,1384,0,0,0,1780224316,,0,True,,
204100,Max Payne 3,14,96af86331719b56cefc55298b4fcb99c99f1cfee,14,0,0,0,1771241350,,1,True,,
208650,Batman™: Arkham Knight,3855,f6c2ce13796844750dfbd01685fb009eeac4bf70,3855,0,0,0,1783008381,,1,True,,597.0
220240,Far Cry® 3,0,8231f43d3dd47fb4b4111fd6bd4a849e73eb0520,0,0,0,0,0,,0,True,,
225540,Just Cause 3,1406,c82c69c8d616d9d273d749e3dd3bd7a0f9da594a,1406,0,0,0,1779853755,,3362,True,,
227300,Euro Truck Simulator 2,6159,adc18a4fc9adc0330144b76d61cbda68bb2394a0,6159,0,0,0,1778432694,,172,True,,
238320,Outlast,0,46bd3df92d4693d3b2af113bf8f31c2cbdadb20a,0,0,0,0,0,"[1, 2, 5]",0,True,,
240720,Getting Over It with Bennett Foddy,5,161090eb78acf2e28333e8ae182121d906f1ee85,5,0,0,0,1729913467,,0,True,,
242760,The Forest,0,3a6847f6ac5879e48531db52261771d5e22904ac,0,0,0,0,0,"[1, 2, 5]",0,True,,
268910,Cuphead,24,c19f1bd916b6d171e94089d03112ec4e4e4da84e,24,0,0,0,1783003001,,0,True,,24.0
286690,Metro 2033 Redux,0,353ea01a045c084215bca95519808eaa7319ce0c,0,0,0,0,0,"[1, 2, 5]",0,True,,
292030,The Witcher 3: Wild Hunt,241,7b52d11edee478d652ef4e7103e00644bed2c74c,241,0,0,0,1755904704,"[1, 5]",70,True,,
307690,Sleeping Dogs: Definitive Edition,972,8ef5e84ffbd9a4b3fb28d308073bccb415fc25ab,972,0,0,0,1761492889,,1005,True,,
360430,Mafia III: Definitive Edition,641,3df3ee0dfcb254bedbf15822c93a6983f67b0822,641,0,0,0,1771413126,"[2, 5]",51,True,,
367520,Hollow Knight,0,f6ab055c2366237200b1a31cccbd6cf81e436d72,0,0,0,0,0,,0,True,,
383180,Dead Island Riptide Definitive Edition,0,68ea0c6d8ed1d089687da6318a62a7c3e3b5741b,0,0,0,0,0,"[2, 5]",0,True,,
383870,Firewatch,0,d13e70a08cab192c52104f315a7d68591c085e81,0,0,0,0,0,"[1, 5]",0,True,,
391540,Undertale,0,2ce672b89b63ec1e70d2f12862e72eb4a33e9268,0,0,0,0,0,,0,,,
414700,Outlast 2,0,f336155a1714d0d413dea897f63ef19ee1f7cf21,0,0,0,0,0,"[1, 2, 5]",0,True,,
444090,Paladins,416,1565119c17f532338a0645b98e69e1fc1df0c29e,0,0,0,0,1500286178,,0,True,,
489830,The Elder Scrolls V: Skyrim Special Edition,0,0dfe3eed5658f9fbd8b62f8021038c0a4190f21d,0,0,0,0,0,"[1, 5]",0,True,,
570940,DARK SOULS™: REMASTERED,208,d74cfa4f3a2070f45ad8ce44e5f61a6507ee00b6,208,0,0,0,1773315594,,1,True,,
578080,PUBG: BATTLEGROUNDS,3244,609f27278aa70697c13bf99f32c5a0248c381f9d,3244,0,0,0,1771768856,"[2, 5]",336,True,,
601150,Devil May Cry 5,312,7ec2f6fb9069c3ae03af7e83610862090cd757bb,312,0,0,0,1767628972,"[1, 2, 5]",0,True,,
632470,Disco Elysium,0,b681544caa931c7c1a6788e6e3e33cb42892d17c,0,0,0,0,0,[5],0,True,,
646910,The Crew 2,362,c627b2fa24d61b4042afbd2b183f49b9ca59bc45,362,0,0,0,1762416397,,1,True,,
782330,DOOM Eternal,0,14235f425d27ab3b83661ba14c17d22dc90e566b,0,0,0,0,0,"[2, 5]",0,True,,
897630,Death Fungeon,0,f199c52f4a581cf93260f0685cfeda358405d8d9,0,0,0,0,0,,0,,,
960910,Heavy Rain,0,ddc1b819a9c00d9642d290fc521e48d708af7329,0,0,0,0,0,"[1, 2, 5]",0,True,,
1002300,Fear & Hunger,0,07b806ae95311ba727fd4783332f751aeaea92da,0,0,0,0,0,"[1, 2, 3, 5, 4]",0,True,,
1145360,Hades,0,8a3fca36a00883e8066263ad35dd15d77a1f9abc,0,0,0,0,0,,0,True,,
1200580,One Gun Guy,0,112744df8d62d560790e3bc3a64fb0d745bde331,0,0,0,0,0,,0,True,,
1222140,Detroit: Become Human,0,3d9f5bc971d44398aef740c0d8e79a358be2e800,0,0,0,0,0,"[2, 5]",0,True,,
1222670,The Sims™ 4,9,ca6bc8b2411bce4a2cd325ab75f0204bc3a4ad98,9,0,0,0,1768039311,,0,,,
1222700,A Way Out,0,ac36b7d06c117d34c204166c3120e15910ef2b8b,0,0,0,0,0,"[1, 2, 5]",0,True,,
1265920,Life is Strange Remastered,0,3f7aa3eec440654761e24eb37d769ca3f4fb5c5c,0,0,0,0,0,"[1, 2, 5]",0,True,,
1265930,Life is Strange: Before the Storm Remastered,0,787f74af7924c85faa517dd9e50e08791f772438,0,0,0,0,0,"[1, 2, 5]",0,True,,
1328670,Mass Effect™ Legendary Edition,0,443ed7dba43882ef4298f8ed15bf67f323461e14,0,0,0,0,0,"[1, 2, 5]",0,True,,
1515950,Capcom Arcade Stadium,0,2715c826a625a0cac409491c1982a459a71f7349,0,0,0,0,0,,0,True,,
1634080,Nocturnal,0,e1e2321cd4b6c89c46ab3ba0d59bd9523fc89c1c,0,0,0,0,0,,0,True,,
1659040,HITMAN World of Assassination,0,552be1d38866afd1c33f682323d325130e7d0ce6,0,0,0,0,0,"[2, 5]",0,True,,
1659420,UNCHARTED™: Legacy of Thieves Collection,0,b566a403067d6abf75136a3c19f9ed0d2e4fb5b1,0,0,0,0,0,,0,True,,
1693980,Dead Space,0,3368d467f4f60f9f07ec4c206a22184fae060be2,0,0,0,0,0,"[2, 5]",0,True,,
1703340,The Stanley Parable: Ultra Deluxe,0,f95fbb1094549fac0af15f7e905207da0e4d339d,0,0,0,0,0,,0,True,,
1938090,Call of Duty®,111,8eaf32220060344996cbf11f697a4f4be943e5f3,111,0,0,0,1763064341,"[2, 5]",0,True,,
2507950,Delta Force,103,52bc6c4bf0c232cf30d66eb3d1638bf099bc6061,103,0,0,0,1763280462,,0,True,,
2622380,ELDEN RING NIGHTREIGN,20627,c59f3732d379c9667450b174353d69d5bcea95a5,20627,0,0,0,1783096970,"[2, 5]",685,True,,2093.0
2881650,Content Warning,0,513cf7f2e22c94f4372369e29bffccc4c239e9c0,0,0,0,0,0,,0,True,,
3527290,PEAK,0,b3a992fd5991bd2f4c956d58e062b0ce2988d6cd,0,0,0,0,0,,0,True,,
3564740,Where Winds Meet,3483,531ce29af277670c3aedc30d3b0bef92ee1b18c4,3483,0,0,0,1771768701,,39,True,,
